expiry_timestamp,pcr,atmiv,avol,ivperchnge,lot_size,ioi,ioi_change,ioi_percent_change,open_interest,oi_change,oi_percent_change,total_ce_oi,total_pe_oi,expiry_type,symbol_id,exchange,segment,display_symbol,days_to_expiry,tick_size
1429295400,0.7475,23.1164,94957,3.1816,75,13723875,5776500,72.6844,136156960,90171600,196.0876,85769830,64110972,W,48400,NSE,D,NIFTY 17 APR 25050 PUT,8,0.0500
1429900200,1.0846,22.4084,46351,4.2501,75,34901640,1714432,5.1659,70468350,6558080,10.2614,50547464,54822520,M,79049,NSE,D,NIFTY 24 APR 19500 PUT,15,0.0500
1430418600,0.6644,22.6943,3371,8.2027,75,2073300,-76950,-3.5787,7017750,699450,11.0702,5462175,3628875,W,52203,NSE,D,NIFTY 30 APR 26950 PUT,21,0.0500
1431109800,1.0191,21.6516,177,7.6285,75,98400,33450,51.5012,291075,124500,74.7411,192900,196575,W,38439,NSE,D,NIFTY 08 MAY 21150 PUT,29,0.0500
1431714600,0.0000,0.0983,0,0.0000,75,0,0,0.0000,0,0,0.0000,0,0,W,46307,NSE,D,NIFTY 15 MAY 25350 PUT,36,0.0500
1432924200,1.2799,22.3564,2738,10.4283,75,6444750,726225,12.6995,18780294,2198394,13.2578,11064300,14160750,M,52295,NSE,D,NIFTY 29 MAY 28250 PUT,50,0.0500
1435343400,1.3157,21.6821,120,9.6326,75,7654000,325150,4.4366,15814325,699775,4.6298,10134475,13333850,M,62374,NSE,D,NIFTY 26 JUN 24450 PUT,78,0.0500
1443205800,1.5703,21.0104,2555,7.8327,75,683625,5400,0.7962,2851425,105825,3.8543,1375350,2159700,M,64771,NSE,D,NIFTY 25 SEP 39000 PUT,-87,0.0500
1450981800,1.5270,20.3865,3746,6.9840,75,3689875,56175,1.5459,6188775,281350,4.7627,3909175,5969475,M,38153,NSE,D,NIFTY 24 DEC 29000 PUT,3,0.0500
1458930600,0.0000,14.2858,0,0.0000,75,0,0,0.0000,0,0,0.0000,0,0,M,63023,NSE,D,NIFTY 26 MAR 35000 PUT,95,0.0500
1466793000,4.9457,20.2164,2,0.7564,75,8675,0,0.0000,10500,175,1.6949,3225,15950,M,71475,NSE,D,NIFTY 25 JUN 25000 PUT,-70,0.0500
1483122600,2.8521,21.1322,20,-5.6901,75,45575,1875,4.2906,61225,1500,2.5115,27725,79075,M,45907,NSE,D,NIFTY 31 DEC 9000 PUT,119,0.0500
1498242600,0.4444,52.8032,0,0.0000,75,75,0,0.0000,900,275,44.0000,675,300,M,71565,NSE,D,NIFTY 24 JUN 26000 PUT,38,0.0500
1514572200,0.0000,15.7036,0,0.0000,75,3000,0,0.0000,29325,0,0.0000,0,32325,M,59069,NSE,D,NIFTY 30 DEC 39000 PUT,-29,0.0500
1530297000,0.0000,18.8215,0,0.0000,75,0,0,0.0000,0,0,0.0000,0,0,M,86138,NSE,D,NIFTY 29 JUN 17000 PUT,-103,0.0500
1546021800,0.0000,19.3700,4,-2.4557,75,5025,0,0.0000,2650,0,0.0000,0,7675,M,67777,NSE,D,NIFTY 28 DEC 21000 PUT,79,0.0500
1561746600,0.0000,18.6255,0,0.0000,75,25,0,0.0000,0,0,0.0000,0,25,M,89655,NSE,D,NIFTY 28 JUN 36000 PUT,5,0.0500
1577471400,0.0000,18.4810,0,0.0000,75,2775,0,0.0000,0,0,0.0000,0,2775,M,61391,NSE,D,NIFTY 27 DEC 18000 PUT,-69,0.0500
